dt,AverageTemperature
1816-11-01,4.64
1816-12-01,-2.05
1817-01-01,-5.13
1817-02-01,-6.805
1817-03-01,0.3999999999999999
1817-04-01,7.706
1817-05-01,13.027000000000001
1817-06-01,17.391
1817-07-01,20.354
1817-08-01,20.691
1817-09-01,16.272000000000002
1817-10-01,7.656999999999999
1817-11-01,4.066
1817-12-01,-2.287
1818-01-01,-4.962
1818-02-01,-6.901
1818-03-01,1.561
1818-04-01,6.472
1818-05-01,13.597000000000001
1818-06-01,20.922
1818-07-01,22.436
1818-08-01,20.01
1818-09-01,14.913999999999998
1818-10-01,8.937999999999997
1818-11-01,4.902
1818-12-01,-4.3580000000000005
1819-01-01,-2.133
1819-02-01,-1.243
1819-03-01,-1.3100000000000005
1819-04-01,7.2890000000000015
1819-05-01,13.718
1819-06-01,20.124
1819-07-01,21.994
1819-08-01,21.087
1819-09-01,18.305
1819-10-01,9.099
1819-11-01,4.363
1819-12-01,-2.427
1820-01-01,-5.747000000000001
1820-02-01,-0.31000000000000005
1820-03-01,1.6119999999999999
1820-04-01,9.172
1820-05-01,13.935
1820-06-01,20.229
1820-07-01,23.847
1820-08-01,20.895
1820-09-01,17.491999999999994
1820-10-01,8.61
1820-11-01,1.805
1820-12-01,-3.721
1821-01-01,-7.500999999999999
1821-02-01,-0.6680000000000001
1821-03-01,0.6409999999999999
1821-04-01,5.807
1821-05-01,14.341
1821-06-01,20.323
1821-07-01,20.274
1821-08-01,22.056
1821-09-01,17.471999999999998
1821-10-01,9.326
1821-11-01,3.2840000000000003
1821-12-01,-3.009
1822-01-01,-5.651
1822-02-01,-2.8080000000000003
1822-03-01,4.125
1822-04-01,8.894
1822-05-01,16.257
1822-06-01,20.045
1822-07-01,23.048000000000002
1822-08-01,20.717
1822-09-01,18.381
1822-10-01,11.0
1822-11-01,5.805
1822-12-01,-1.712
1823-01-01,-2.729
1823-02-01,-5.593
1823-03-01,1.4240000000000002
1823-04-01,9.297
1823-05-01,14.305
1823-06-01,19.51
1823-07-01,22.39
1823-08-01,21.087
1823-09-01,15.422
1823-10-01,8.349
1823-11-01,0.9930000000000004
1823-12-01,-0.7969999999999999
1824-01-01,-0.8580000000000001
1824-02-01,-2.224
1824-03-01,1.64
1824-04-01,8.638
1824-05-01,13.99
1824-06-01,18.956
1824-07-01,21.513
1824-08-01,19.554000000000002
1824-09-01,16.162999999999997
1824-10-01,9.902
1824-11-01,3.332
1824-12-01,0.898
1825-01-01,-2.197
1825-02-01,-1.037
1825-03-01,4.918
1825-04-01,9.39
1825-05-01,15.135
1825-06-01,21.666
1825-07-01,24.576
1825-08-01,20.937
1825-09-01,16.166999999999998
1825-10-01,11.081
1825-11-01,3.474
1825-12-01,-1.636
1826-01-01,-2.644
1826-02-01,-0.909
1826-03-01,2.559
1826-04-01,6.492000000000001
1826-05-01,18.514
1826-06-01,20.402
1826-07-01,22.019000000000002
1826-08-01,21.579
1826-09-01,17.738
1826-10-01,10.786
1826-11-01,3.951
1826-12-01,-1.423
1827-01-01,-6.077000000000001
1827-02-01,-1.082
1827-03-01,3.2119999999999997
1827-04-01,10.398
1827-05-01,14.488
1827-06-01,19.153
1827-07-01,22.131
1827-08-01,20.617
1827-09-01,16.685
1827-10-01,10.450999999999999
1827-11-01,1.766
1827-12-01,-0.609
1828-01-01,-0.31499999999999995
1828-02-01,3.1010000000000004
1828-03-01,4.2360000000000015
1828-04-01,6.682
1828-05-01,15.455
1828-06-01,22.032
1828-07-01,21.876
1828-08-01,22.522
1828-09-01,16.814999999999998
1828-10-01,9.308
1828-11-01,5.11
1828-12-01,1.6220000000000003
1829-01-01,-3.848
1829-02-01,-6.041
1829-03-01,0.7229999999999999
1829-04-01,9.064
1829-05-01,16.483
1829-06-01,20.133
1829-07-01,21.186
1829-08-01,21.474
1829-09-01,14.55
1829-10-01,9.866
1829-11-01,3.675
1829-12-01,2.8040000000000003
1830-01-01,-3.484
1830-02-01,-2.744
1830-03-01,3.577
1830-04-01,10.872
1830-05-01,14.869000000000002
1830-06-01,19.348
1830-07-01,23.642
1830-08-01,21.749
1830-09-01,16.552
1830-10-01,11.284999999999998
1830-11-01,7.838999999999999
1830-12-01,0.32799999999999996
